"insee_2017","bati","parc","cons","mais","app","pro","div","loc","dens"
"14103",5038,54628,49842,43,0,1,0,44,8.82797
"14104",1974,157784,58370,15,0,1,0,16,2.74116
"14106",4052,46356,31193,20,0,2,0,22,7.05285
"14107",1553,22873,22887,12,0,0,0,12,5.24314
"14110",667,16495,16504,5,0,0,0,5,3.02954
"14111",2373,31870,31885,21,0,0,0,21,6.58618
"14116",1456,15814,15818,6,0,2,0,8,5.05767
"14117",39650,376856,294832,130,350,102,2,584,19.8079
"14118",235024,869906,735740,225,3064,628,14,3931,53.4292
"14119",48294,375758,277096,85,28,13,1,127,4.58326
"14120",16044,424009,266198,99,1,9,0,109,4.0947
"14121",3250,78998,79032,21,0,1,0,22,2.7837
"14122",1888,70305,29959,16,0,0,0,16,5.34064
"14123",23535,150296,150376,180,2,2,0,184,12.236
"14124",10437,150855,103194,33,4,2,0,39,3.7793
"14125",11204,68628,62473,70,6,2,0,78,12.4854
"14126",9267,289582,160991,50,5,7,0,62,3.85115
"14127",4406,125785,70224,31,0,0,0,31,4.41442
"14130",1842,54556,28857,12,0,0,0,12,4.15844
"14131",727,27760,11854,4,0,0,0,4,3.37439
"14132",2157,42184,34381,16,0,0,0,16,4.6537
"14134",1220,26676,26686,9,0,0,0,9,3.37253
"14135",3289,35621,27414,12,0,3,0,15,5.47167
"14136",18,664,665,0,0,0,0,0,0
"14137",73482,313606,310800,120,67,138,3,328,10.5534
"14138",2391,35341,29011,10,0,0,0,10,3.44696
"14140",2236,37963,37981,17,0,0,0,17,4.47593
"14141",2995,323890,58655,11,2,0,0,13,2.21635
"14143",22946,313582,283383,132,8,67,0,207,7.3046
"14145",3269,43295,43305,33,0,0,0,33,7.62037
"14146",1079,21449,21451,5,0,1,0,6,2.79705
"14147",1914,65585,47325,16,0,0,0,16,3.38085
"14149",5870,49962,49977,52,0,0,0,52,10.4047
"14150",1924,15264,15266,8,2,1,0,11,7.20538
"14159",1624,50759,26612,11,0,1,0,12,4.50924
"14160",528,5485,5486,2,0,1,0,3,5.46811
"14161",5553,382753,116945,32,0,2,0,34,2.90734
"14162",5605,117854,93902,43,0,1,0,44,4.68576
"14163",4328,81645,60336,32,0,0,0,32,5.30366
